ID,Split,Sample_ID,problem_id,Prompt,Target
0,eval,0,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [95, 21, 3], create an equation that equals 88. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",88
1,eval,1,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [72, 30, 29], create an equation that equals 72. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",72
2,eval,2,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [67, 69, 69], create an equation that equals 71. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",71
3,eval,3,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [67, 79, 39, 56], create an equation that equals 77. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",77
4,eval,4,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [6, 77, 73, 20], create an equation that equals 44. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",44
5,eval,5,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [27, 95, 4], create an equation that equals 17. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",17
6,eval,6,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [87, 55, 98, 91], create an equation that equals 96. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",96
7,eval,7,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [14, 32, 2], create an equation that equals 20. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",20
8,eval,8,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [57, 22, 54], create an equation that equals 66. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",66
9,eval,9,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [47, 14, 3], create an equation that equals 30. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",30
10,eval,10,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [22, 29, 69], create an equation that equals 62. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",62
11,eval,11,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [27, 83, 83], create an equation that equals 28. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",28
12,eval,12,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [18, 71, 86, 43], create an equation that equals 76. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",76
13,eval,13,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [87, 96, 75], create an equation that equals 84. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",84
14,eval,14,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [90, 1, 64, 9], create an equation that equals 55. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",55
15,eval,15,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [25, 48, 16, 65], create an equation that equals 24. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",24
16,eval,16,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [52, 20, 90, 61], create an equation that equals 90. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",90
17,eval,17,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [85, 1, 94, 83], create an equation that equals 48. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",48
18,eval,18,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [84, 94, 45, 55], create an equation that equals 100. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",100
19,eval,19,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [19, 94, 57], create an equation that equals 97. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",97
20,eval,20,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [9, 73, 38, 2], create an equation that equals 17. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",17
21,eval,21,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [69, 12, 40], create an equation that equals 41. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",41
22,eval,22,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [17, 64, 63, 26], create an equation that equals 44. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",44
23,eval,23,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [20, 2, 18, 26], create an equation that equals 26. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",26
24,eval,24,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [31, 38, 34, 17], create an equation that equals 44. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",44
25,eval,25,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [77, 33, 78, 86], create an equation that equals 52. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",52
26,eval,26,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [5, 96, 84, 1], create an equation that equals 75. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",75
27,eval,27,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [9, 3, 6, 73], create an equation that equals 28. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",28
