ID,Split,Sample_ID,problem_id,Prompt,Target,Confidence
0,eval,0,0,"<｜begin▁of▁sentence｜><｜User｜>Question: A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?

Options:
A. Appendix
B. Gallbladder
C. Spleen
D. Urinary bladder
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
1,eval,1,1,"<｜begin▁of▁sentence｜><｜User｜>Question: Which of the following anatomical regions of abdomen lies just distal to the sternum?

Options:
A. Epigastric
B. Hypochondriac
C. Hypogastric
D. Lumbar
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",A,0.1
2,eval,2,2,"<｜begin▁of▁sentence｜><｜User｜>Question: The major concentrations of proprioceptive receptors providing information about position of the TMJ are located in

Options:
A. the capsule and ligaments of the TMJ and the medial pterygoid muscle.
B. the capsule and ligaments of the TMJ and the lateral pterygoid muscle.
C. the articular disc of the TMJ and the medial pterygoid muscle.
D. the articular disc of the TMJ and the lateral pterygoid muscle.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
3,eval,3,3,"<｜begin▁of▁sentence｜><｜User｜>Question: A possible effect of damage to the third cranial nerve by trauma to the orbit is

Options:
A. a convergent strabismus.
B. ptosis.
C. pupillary contriction.
D. bitemporal hemianopia.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
4,eval,4,4,"<｜begin▁of▁sentence｜><｜User｜>Question: Which of the following best describes the process whereby the stomach muscles contract to propel food through the digestive tract?

Options:
A. Absorption
B. Emulsion
C. Peristalsis
D. Regurgitation
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
5,eval,5,5,"<｜begin▁of▁sentence｜><｜User｜>Question: The auditory tube

Options:
A. connects the inner ear and nasopharynx.
B. is derived from the second pharyngeal pouch.
C. is opened by the action of levator veli palatini.
D. is closed by the action of tensor veli palatini.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
6,eval,6,6,"<｜begin▁of▁sentence｜><｜User｜>Question: Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?

Options:
A. Glomerulonephritis
B. Interstitial nephritis
C. Nephrolithiasis
D. Polycystic kidney
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
7,eval,7,7,"<｜begin▁of▁sentence｜><｜User｜>Question: The regional lymphatic drainage of the left side of the tip of the tongue is to the

Options:
A. left submental lymph node.
B. left and right submental lymph nodes.
C. left submandibular lymph node.
D. left and right submandibular lymph nodes.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
8,eval,8,8,"<｜begin▁of▁sentence｜><｜User｜>Question: The thoracic cage is a structural unit important for which of the following functions?

Options:
A. Alimentation
B. Menstruation
C. Mentation
D. Respiration
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",D,0.1
9,eval,9,9,"<｜begin▁of▁sentence｜><｜User｜>Question: The palatine processes begin to fuse at

Options:
A. six weeks post-fertilization.
B. eight weeks post-fertilization.
C. ten weeks post-fertilization.
D. twelve weeks post-fertilization.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
10,eval,10,10,"<｜begin▁of▁sentence｜><｜User｜>Question: Which of the following best describes the human body's defense mechanism against environmental bacteria?

Options:
A. Hair in the nose
B. Mucous membranes
C. Osteoblasts
D. Saliva
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
11,eval,11,11,"<｜begin▁of▁sentence｜><｜User｜>Question: Gastrulation is the process of

Options:
A. mesoderm formation and occurs after neurulation.
B. ectomesenchyme formation and occurs before neurulation.
C. mesoderm formation and occurs before neurulation.
D. ectomesenchyme formation and occurs after neurulation.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
12,eval,12,12,"<｜begin▁of▁sentence｜><｜User｜>Question:  What is the main difference between a cloned (SCNT) individual and an individual who is a product of normal sexual reproduction?

Options:
A. The SCNT individual has genetic material primarily from one person instead of two.
B. The SCNT individual has genetic material primarily from two people instead of one.
C. The SCNT individual has no genetic material.
D. There is no significant difference.
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",A,0.1
13,eval,13,13,"<｜begin▁of▁sentence｜><｜User｜>Question:  In the context of Gardiner's article, ""the fragmentation of agency"" refers to what?

Options:
A. an agent's inability to acknowledge his or her contribution to climate change
B. the fragmentation of the effects of greenhouse gas emissions across generations
C. the vast number of individuals and agents who contribute to climate change
D. the idea that it's not rational for each individual to restrict his or her own pollution
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",C,0.1
14,eval,14,14,"<｜begin▁of▁sentence｜><｜User｜>Question:  Dershowitz discusses the hypothetical case where the hijacked planes of 9/11 must be shot down to argue that important decisions like these

Options:
A. often have to be made quickly and without immediate authorization.
B. should be made with visibility and accountability by the highest-level officials.
C. have no objective answer.
D. none of the above
Reason step by step internally and then choose the most truthful answer.
Respond with only one letter (A, B, C, or D).
Answer:",B,0.1
