ID,Split,Sample_ID,problem_id,Prompt,Target
0,eval,0,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [30, 30, 5], create an equation that equals 55. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",55
1,eval,1,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [60, 99, 2], create an equation that equals 78. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",78
2,eval,2,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [13, 8, 60, 80], create an equation that equals 44. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",44
3,eval,3,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [1, 26, 24], create an equation that equals 51. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",51
4,eval,4,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [21, 63, 90], create an equation that equals 87. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",87
5,eval,5,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [25, 42, 13, 83], create an equation that equals 53. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",53
6,eval,6,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [70, 95, 95], create an equation that equals 71. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",71
7,eval,7,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [55, 34, 92], create an equation that equals 71. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",71
8,eval,8,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [35, 19, 18, 58], create an equation that equals 14. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",14
9,eval,9,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [5, 17, 22, 32], create an equation that equals 75. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",75
10,eval,10,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [52, 48, 31, 34], create an equation that equals 68. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",68
11,eval,11,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [97, 23, 15], create an equation that equals 59. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",59
12,eval,12,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [9, 41, 21, 21], create an equation that equals 32. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",32
13,eval,13,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [39, 24, 30], create an equation that equals 93. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",93
14,eval,14,,"<｜begin▁of▁sentence｜><｜User｜>Using the numbers [32, 82, 91], create an equation that equals 23. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once. Show your work in <think> </think> tags. And return the final answer in <answer> </answer> tags, for example <answer> (1 + 2) / 3 </answer>.",23
