Index,Sample_ID,Parent_ID,Evidence_Index,Completion,Token_Count,Original_Final_Answer,Final_Answer,Accuracy,Compared_Final_Answer
0_0,0,0,0,".
</think>

Alright, let's start by breaking down the information step by step. 

First, Alexandra raises $430. Kim raises $320 more than Alexandra, so Kim's amount is $430 + $320. That would be $750 for Kim. 

Next, Sarah raises $300. Maryam raises $400 more than Sarah, so Maryam's amount is $300 + $400, which equals $700. 

Now, to find the total amount raised by all four girls, I need to add up the amounts from each of them. That would be Alexandra's $430, Kim's $750, Sarah's $300, and Maryam's $700. 

Adding these together: $430 + $750 + $300 + $700. Let me do the math. 

First, add $430 and $750, which gives $1,180. Then, add $300 and $700, which totals $1,000. Finally, adding those two results together: $1,180 + $1,000 equals $2,180. 

So, the total amount raised by all the girls is $2,180. 

#### 2180",297,2180.0,2180.0,True,2180.0
0_1,0,0,0,".
</think>

Alexandra raises $430, so Kim raises $320 more than that. To find Kim's total, I add $320 to $430. Then, Sarah raises $300, and Maryam raises $400 more than Sarah. So I need to add $400 to Sarah's $300 to get Maryam's total. Once I have all four amounts, I can sum them up to find the total money raised. 

Kim's amount is $430 + $320 = $750. Maryam's amount is $300 + $400 = $700. Adding all amounts: $430 (Alexandra) + $750 (Kim) + $300 (Sarah) + $700 (Maryam) = $2180. 

#### 2180",195,2180.0,2180.0,True,2180.0
0_2,0,0,0,".
</think>

Kim raises $320 more than Alexandra, who raises $430. So, Kim's amount is $430 + $320. That equals $750. Then, Maryam raises $400 more than Sarah, who raises $300. So, Maryam's amount is $300 + $400, which is $700. Now, adding all their amounts: Kim ($750) + Alexandra ($430) + Maryam ($700) + Sarah ($300). Let's sum them up step by step: $750 + $430 = $1180, then $1180 + $700 = $1880, and finally $1880 + $300 = $2180. #### 2180",191,2180.0,2180.0,True,2180.0
0_3,0,0,0,".
</think>

Okay, let's break it down step by step. 

First, the problem says Kim raises $320 more than Alexandra, who raises $430. So, Alexandra's amount is given as $430. To find Kim's amount, I need to add $320 to Alexandra's $430. That would be $430 + $320 = $750. So Kim raises $750.

Next, it mentions Maryam raises $400 more than Sarah, who raises $300. Sarah's amount is given as $300. To find Maryam's amount, I add $400 to Sarah's $300. That would be $300 + $400 = $700. So Maryam raises $700.

