question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
"The focus on issues, the intended audience extending beyond shareholders and the voluntary nature of ___________ distinguish it from _________.",mmlu,business_ethics,,"Social accounting, Financial accounting.","Financial accounting, Social accounting.",0
What are the three differing types of stakeholder theory according to Donaldson and Preston (1995)?,mmlu,business_ethics,,"Normative, Descriptive and Instrumental","Normative, Descriptive and Economic",1
" ______ is an employee's preferred ratio between work-related and non-work-related activities which, due to intensification of work and technological shifts, has become a hotly contested issue in recent years.",mmlu,business_ethics,,Work-life balance,Presenteeism,2
How the code is enforced.,mmlu,business_ethics,,"1,2,4","1,3,4",3
"Cognitive ______ models such as the Theory of _________ serve to try and explain consumer behaviour, but arguably somewhat oversimplify and overestimate individual ________.",mmlu,business_ethics,,"Decision, Planned behaviour, Rationality","Attitudinal, Planned Behaviour, Social pressures",4
"In order to try and align the interest of shareholders and senior management of a company, _________ are often made available to _______ of a company, to ensure that it is in their interests to increase _______ and dividend performance.",mmlu,business_ethics,,"Share options, Senior managers, Share Price","Share options, All employees, Share Price",5
"The so-called BRIC countries (Brazil, Russia, India and _______) tend to follow a __________ approach to corporate governance. However, recently this has tended to move towards more _______-based mechanisms.",mmlu,business_ethics,,"China, Relationship, Market","Canada, Relationship, Market",6
What is the enlightened self-interest model of CSR?,mmlu,business_ethics,,That it is in an organization's own best interest to act in an ethical way,That it is in an organization's own best interest to put itself first rather than its ethics,7
When the true cost an item is deliberately obscured by a company this is known as?,mmlu,business_ethics,,Deceptive pricing,Predatory pricing,8
" The ________ perspective on sustainability resulted from growth models that analysed the carrying capacity of the planet, overall concluding that the finite capacity of the earth and_______, ________ and _______ by current and past generations could reduce quality of life for future generations. This contrasts with the environmental perspective with focuses on the need to maintain and preserve the natural environment.",mmlu,business_ethics,,"Environmental, Underuse of resources, Overpopulation, Over pollution","Environmental, Overuse of resources, Underpopulation, Unsustainability",9
Managers and directors have a fiduciary responsibility to protect the investment of shareholders.,mmlu,business_ethics,,"1,3,4","2,3,4",10
"A corporation is ________ from its managers, employees, investors and customers. It therefore has _______ succession and also ________.",mmlu,business_ethics,,"Independent, Perpetual, Owns its own assets","Independent, Limited, Owns its own assets",11
"Walt Disney, Sony and Time Warner are examples of:",mmlu,sociology,,transnational corporations,multi-media empires,12
The 'third age' of the life course is said to involve:,mmlu,sociology,,active non-work and independence after retirement,"illness, isolation and increasing dependence on others",13
There was a growth in income inequality in the 1980s because:,mmlu,sociology,,growing unemployment made more people dependent on welfare benefits,rates of income tax increased equally for all occupational groups,14
Which of the following is not identified by Fulcher & Scott as a criterion of community?,mmlu,sociology,,a fixed geographical location,collective action based on common interests,15
Post-modernist writers have argued that:,mmlu,sociology,,"we live in a world of superficial, fragmented images",all of the above,16
What is the name of the process by which we acquire a sense of identity and become members of society?,mmlu,sociology,,socialization,McDonaldization,17
The capitalist class of the mid-twentieth century were said to join the upper class because they:,mmlu,sociology,,owned companies and financial assets that generated wealth through corporations,emulated the lifestyle and cultural values of the traditional aristocracy,18
The alternative form of 'network organization' means that:,mmlu,sociology,,work can be subcontracted out to independent suppliers and retailers,"the Japanese model is applied, through lateral networks of flexible roles",19
War became possible between nation states in the nineteenth century because:,mmlu,sociology,,all of the above,the world was divided into several rival overseas empires,20
The general fertility rate fell between 1964 and 2000 because of:,mmlu,sociology,,increases in the age of marriage and the age at which childbearing begins,"the risk of diseases caused by poverty, poor housing and bad sanitation",21
The Mafia is an example of:,mmlu,sociology,,organized crime,white collar crime,22
"According to Foucault, carceral organizations:",mmlu,sociology,,isolated people and put them under surveillance,increased the amount of power held by managers,23
Which of the following is a radioactive element?,mmlu,high_school_chemistry,,Am,Cr,24
What is an alpha particle?,mmlu,high_school_chemistry,,Another name for a helium nucleus,Another name for a cosmic ray,25
Monatomic ions of the representative elements are often,mmlu,high_school_chemistry,,isoelectronic with a noble gas,very electronegative,26
The rate of a chemical reaction is determined by,mmlu,high_school_chemistry,,the rate-determining or slow step of the mechanism,the equilibrium constant,27
PCl3(g) + Cl2(g) ↔ PCl5(g) ΔH = -92.5 kJ/mol In which of the following ways could the reaction above be manipulated to create more product?,mmlu,high_school_chemistry,,Increasing the pressure,Decreasing the concentration of PCl3,28
"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?",mmlu,high_school_chemistry,,2.0 × 10^-3,2.0 × 10^-1,29
"Nickel (Z = 28, A = 59) has a first ionization energy of 737 kJ/mol and a boiling point of 2913 °C, while Pt (Z = 78, A = 195) has a first ionization energy of 870 kJ/mol and a boiling point of 3825 °C. Which of the following are the most reasonable values of ionization energy and boiling point for palladium?",mmlu,high_school_chemistry,,804 kJ/mol and 2963 °C,-200 kJ/mol and 3524 °C,30
Which would be the easiest way to burn an iron nail?,mmlu,high_school_chemistry,,"Grind the nail into very small, dust-sized particles, and spray them into a flame",Dissolve the nail in acid to make the oxide.,31
"A metal is reacted with HCl to produce hydrogen gas. If 0.0623 gram of metal produces 28.3 mL of hydrogen at STP, the mass of the metal that reacts with one mole of hydrochloric acid is",mmlu,high_school_chemistry,,24.7 g,98.6 g,32
The molecule with a tetrahedral shape is,mmlu,high_school_chemistry,,CBr4,PCl4F,33
Less than 1/1000 of the mass of any atom is contributed by,mmlu,high_school_chemistry,,the electrons,the electrons and neutrons,34
Examining data obtained from mass spectrometry supports which of the following?,mmlu,high_school_chemistry,,The existence of isotopes,Ionization energy trends within the periodic table,35
It has been suggested that learned helplessness may be related to,mmlu,high_school_psychology,,major depressive disorder.,paranoia.,36
Which of the following usually increases with age in healthy adults between the ages of 18 and 70?,mmlu,high_school_psychology,,crystallized intelligence,speededness,37
"In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. The devil says, ""Don't give him anything, you'll make better use of the money than he will."" The angel says, ""Give him the money because he needs it more than you do."" The character gives the homeless man half of his money. In a Freudian interpretation, the angel represents the character's",mmlu,high_school_psychology,,superego,libido,38
"According to the Gestalt theory of perception, being able to identify a three-sided object as being a triangle, even though it is partially blocked from view is an example of",mmlu,high_school_psychology,,closure,continuity,39
"According to activation-synthesis theory,",mmlu,high_school_psychology,,dreams result from the mind's attempt to make sense of random neural activity from the brainstem,happiness depends on comparing one's present circumstances with one's past circumstances,40
Cognitivists claim that classical conditioning results from,mmlu,high_school_psychology,,an expectation of what is coming following the conditioned stimulus,an association between the conditioned stimulus and the unconditioned response,41
Someone who is unable to encode new memories is said to suffer from,mmlu,high_school_psychology,,anterograde amnesia.,state-dependent memory.,42
Alpha waves are most closely associated with,mmlu,high_school_psychology,,the hypnagogic state,Stage 3 sleep,43
Which of the following has been linked to a deficit of dopamine?,mmlu,high_school_psychology,,Parkinson's disease,Alzheimer's disease,44
An unjustifiable and usually negative attitude toward a group and its members is called,mmlu,high_school_psychology,,prejudice,in-group bias,45
"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?",mmlu,high_school_psychology,,Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time,Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work,46
A person who experiences flashbacks and nightmares after being involved in a serious car accident is likely to be diagnosed with which psychological disorder?,mmlu,high_school_psychology,,post-traumatic stress disorder,dissociative identity disorder,47
"Of the cans of soup in Rolando’s cupboard, 1/2 are tomato and 2/5 are chicken noodle. What fraction of the cans of soup in Rolando’s cupboard are either tomato or chicken noodle?",mmlu,elementary_mathematics,,10-Sep,10-Jul,48
Theresa had a bag of 72 marbles. She put the marbles into 9 equal groups. Which number sentence shows how to find the number of marbles Theresa put into each group?,mmlu,elementary_mathematics,,72 ÷ 9 = 8,72 – 9 = 63,49
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,mmlu,elementary_mathematics,,8,9,50
"An ice cream shopsold 48 vanilla milkshakes in a day, which was 40% of the total number of milkshakes sold that day. What was the total number of milkshakes that the ice cream shop sold that day?",mmlu,elementary_mathematics,,120,100,51
A post office delivered eighteen thousand ninety-six pieces of mail in a week. What is this number of pieces of mail written in expanded form?,mmlu,elementary_mathematics,,"10,000 + 8,000 + 90 + 6","18 + 1,000 + 90 + 6",52
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",mmlu,elementary_mathematics,,16 hours,32 hours,53
"Umi created the number pattern that follows by adding the same amount each time to get the next number. 20, 40, 60, 80, ... What will be the eighth number in the pattern?",mmlu,elementary_mathematics,,160,240,54
Peter is in a group of 25 people. All 25 people went fishing in boats. There were 5 people in each boat. How can Peter find the number of boats the group used?,mmlu,elementary_mathematics,,Divide 25 by 5,Subtract 5 from 25,55
Which situation can be represented by the fraction 20/8?,mmlu,elementary_mathematics,,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,56
"Rita is moving a pile of 120 rocks by hand to build a rock wall. If h represents the number of rocks that she can carry in one load, which expression represents the total number of loads needed to move the entire pile of rocks?",mmlu,elementary_mathematics,,120/h,120 +h,57
"The vice president of sales took a client out to lunch. If the lunch was $44 and she gave a 20% tip, how much money did she spend on lunch?",mmlu,elementary_mathematics,,$52.80 ,$8.80 ,58
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?",mmlu,elementary_mathematics,,"17, 21","15, 19",59
What is not a purpose of an organisational structure?,mmlu,management,,To limit workers' rights,To organise lines of communication,60
What is not an assumption underpinning the rational decision making model?,mmlu,management,,Incomplete information,An agreed goal,61
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",mmlu,management,,The level of rivalry,The potential for entry into the industry,62
Of what is worker autonomy in decision making an example?,mmlu,management,,Worker empowerment,Greater worker negotiation,63
What is the richest form of information?,mmlu,management,,Face-to-face,E-mail,64
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,mmlu,management,,Socialisation,Propaganda,65
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,mmlu,management,,Independent,Dependent,66
What one of the following is not a key management skill in planning?,mmlu,management,,IT and computing skills,Analytical skills,67
What are the key characteristics of transactional leaders?,mmlu,management,,"Guiding, mentoring and motivating","Guiding, commanding and motivating",68
